,Community Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
34,34.0,63.9080459770115,73.61780104712042,31.428571428571427,51.597883597883595,62.30541871921182,39.22907488986784,43.68852459016394,45.64435146443515,70.2967032967033,92.6140350877193
35,35.0,58.184615384615384,49.45205479452055,14.753424657534246,40.37837837837838,10.56,10.015384615384615,12.661538461538461,27.56140350877193,57.89230769230769,36.02564102564103
36,36.0,50.4,74.66666666666667,10.0,2.5,4.0,27.666666666666668,2.0,69.71428571428571,55.5,4.0
37,37.0,40.75,22.82051282051282,35.0,37.833333333333336,15.433333333333334,28.807692307692307,18.733333333333334,76.26923076923077,87.41666666666667,43.0
38,38.0,61.368,57.48076923076923,70.74045801526718,53.69387755102041,24.376470588235293,40.208333333333336,37.0,79.23232323232324,78.08333333333333,73.75
39,39.0,24.836734693877553,31.86842105263158,45.326530612244895,52.08510638297872,23.58823529411765,47.31578947368421,26.833333333333332,77.77777777777777,115.57142857142857,48.0
40,40.0,73.57894736842105,42.925,55.333333333333336,58.95348837209303,27.741935483870968,107.02631578947368,58.888888888888886,64.03030303030303,100.37931034482759,74.17647058823529
41,41.0,28.801980198019802,34.97435897435897,77.43514644351464,38.51648351648352,22.091428571428573,94.72463768115942,35.84158415841584,50.30113636363637,85.9,57.57692307692308
42,42.0,30.346153846153847,60.309859154929576,65.67,36.478873239436616,26.420289855072465,108.40579710144928,38.907407407407405,20.755555555555556,128.24358974358975,44.24
43,43.0,36.05142857142857,23.26984126984127,39.45578231292517,34.672,78.38216560509554,33.48951048951049,18.74264705882353,21.691666666666666,38.92727272727273,106.55208333333333
44,44.0,30.675675675675677,54.21518987341772,62.514925373134325,54.1203007518797,34.6241134751773,77.15060240963855,29.15671641791045,41.5948275862069,77.10576923076923,87.47368421052632
45,45.0,31.06382978723404,26.477272727272727,28.386363636363637,48.333333333333336,46.69230769230769,43.32,15.71111111111111,20.071428571428573,46.94871794871795,89.70967741935483
46,46.0,41.981308411214954,26.625,30.0873786407767,50.0,62.30107526881721,29.622448979591837,19.361702127659573,26.806818181818183,42.756410256410255,85.29333333333334
47,47.0,2.0,6.0,6.0,117.25,2.5,4.0,19.0,2.0,2.0,
48,48.0,21.022727272727273,17.26,26.789473684210527,28.79245283018868,66.19354838709677,50.26229508196721,23.076923076923077,27.413793103448278,34.45,65.48148148148148
49,49.0,18.014285714285716,55.32539682539682,63.18857142857143,51.29032258064516,31.73949579831933,58.48360655737705,75.45637583892618,32.34959349593496,88.58677685950413,103.58333333333333
50,50.0,13.166666666666666,18.571428571428573,39.72222222222222,43.54545454545455,33.666666666666664,20.166666666666668,48.25925925925926,22.434782608695652,74.58333333333333,60.125
51,51.0,39.37931034482759,21.96078431372549,15.25,19.761904761904763,82.64814814814815,26.375,23.8135593220339,21.75862068965517,21.512820512820515,79.29411764705883
52,52.0,35.666666666666664,30.55,30.0,34.6231884057971,48.59615384615385,17.053571428571427,11.466666666666667,25.581818181818182,17.86046511627907,108.0
53,53.0,33.67307692307692,67.5079365079365,44.94642857142857,38.770833333333336,36.542857142857144,65.71739130434783,74.57352941176471,26.96,64.34883720930233,78.88888888888889
54,54.0,30.545454545454547,16.636363636363637,4.833333333333333,38.0,30.705882352941178,3.3636363636363638,58.23529411764706,21.09090909090909,28.9,39.0
55,55.0,24.147058823529413,49.53846153846154,64.97058823529412,50.36363636363637,72.0,29.125,18.8125,30.823529411764707,45.28,73.16666666666667
56,56.0,14.482014388489208,19.5,25.554054054054053,15.809859154929578,31.407894736842106,17.65771812080537,25.85276073619632,32.91387559808612,15.503311258278146,54.58709677419355
57,57.0,74.17391304347827,22.58730158730159,24.768115942028984,29.77027027027027,44.93333333333333,36.15068493150685,36.0875,22.985294117647058,61.25925925925926,64.04761904761905
58,58.0,80.4423076923077,34.05691056910569,23.3781512605042,26.975,45.23076923076923,39.333333333333336,33.34959349593496,19.243243243243242,26.017543859649123,60.94230769230769
59,59.0,39.35,22.626666666666665,29.369565217391305,34.0,24.927272727272726,33.56140350877193,18.6,41.80327868852459,31.666666666666668,53.88235294117647
60,60.0,69.35135135135135,38.34959349593496,23.78481012658228,26.47872340425532,42.90625,43.34710743801653,41.97122302158273,40.939655172413794,36.32183908045977,67.816091954023
61,61.0,55.696296296296296,22.995348837209303,36.339393939393936,29.95,10.47191011235955,18.68217054263566,18.805882352941175,64.02027027027027,42.39622641509434,99.54285714285714
62,62.0,45.15555555555556,15.268292682926829,24.177419354838708,25.4468085106383,36.44444444444444,29.183673469387756,20.87719298245614,17.127659574468087,38.44827586206897,72.01923076923077
63,63.0,55.6283185840708,35.3109243697479,27.813953488372093,27.71171171171171,43.289256198347104,31.248,34.09708737864078,30.680672268907564,63.0,66.39603960396039
64,64.0,8.816666666666666,32.95384615384615,27.77777777777778,16.328125,29.540983606557376,10.326923076923077,32.724137931034484,18.866666666666667,31.44,64.56896551724138
65,65.0,12.979591836734693,32.099173553719005,15.734513274336283,32.900763358778626,30.775510204081634,13.07258064516129,27.51094890510949,26.88135593220339,58.38461538461539,97.67164179104478
66,66.0,26.762820512820515,49.52127659574468,35.02307692307692,27.884615384615383,33.72268907563025,22.370689655172413,41.02127659574468,24.38938053097345,57.06,121.36065573770492
67,67.0,48.63247863247863,52.48684210526316,22.5125,22.318181818181817,21.50769230769231,55.270270270270274,41.4367816091954,50.80769230769231,30.049180327868854,64.36585365853658
68,68.0,20.593023255813954,23.675675675675677,21.914893617021278,75.10843373493977,23.511111111111113,13.492957746478874,27.74712643678161,52.97260273972603,83.61842105263158,71.82539682539682
69,69.0,29.735537190082646,61.6578947368421,65.73099415204679,64.31654676258992,39.22962962962963,62.34228187919463,30.60144927536232,42.55,89.34821428571429,128.18055555555554
70,70.0,19.008130081300813,23.772058823529413,16.203389830508474,13.436170212765957,43.72649572649573,17.666666666666668,22.142857142857142,41.828125,41.81,62.03361344537815
71,71.0,32.132075471698116,53.39380530973451,48.96268656716418,27.715328467153284,42.05223880597015,31.080882352941178,20.951612903225808,65.70344827586207,90.06,93.17924528301887
72,72.0,23.602272727272727,26.019801980198018,23.83529411764706,23.96,23.658536585365855,39.60294117647059,53.204819277108435,35.43421052631579,31.78688524590164,105.55
73,73.0,31.488095238095237,43.87096774193548,40.649484536082475,42.12328767123287,37.0958904109589,42.620253164556964,51.509803921568626,40.42857142857143,37.540983606557376,74.31506849315069
